period,party,label_l3,meeting_count,mention_count,party_meetings,party_total_chars,meeting_presence_rate,mentions_per_10k_chars
2017-Q3,열린민주당,청사관리,0,0,0,0,0.0,0.0
2017-Q3,정의당,국가기록물,0,0,0,0,0.0,0.0
2017-Q3,정의당,국가적중장기과제추진·지원,0,0,0,0,0.0,0.0
2017-Q3,정의당,국민안전행정지원,0,0,0,0,0.0,0.0
2017-Q3,정의당,복구지원,0,0,0,0,0.0,0.0
2017-Q3,정의당,비상대비,0,0,0,0,0.0,0.0
2017-Q3,정의당,안전및재난,0,0,0,0,0.0,0.0
2017-Q3,정의당,안전행정행정지원,0,0,0,0,0.0,0.0
2017-Q3,정의당,이북5도,0,0,0,0,0.0,0.0
2017-Q3,정의당,자치인력개발,0,0,0,0,0.0,0.0
2017-Q3,정의당,재난예방,0,0,0,0,0.0,0.0
2017-Q3,정의당,전자정부,0,0,0,0,0.0,0.0
2017-Q3,정의당,정보시스템통합관리,0,0,0,0,0.0,0.0
2017-Q3,정의당,정부의전,0,0,0,0,0.0,0.0
2017-Q3,정의당,정부혁신,0,0,0,0,0.0,0.0
2017-Q3,정의당,조직관리,0,0,0,0,0.0,0.0
2017-Q3,정의당,지방세,0,0,0,0,0.0,0.0
2017-Q3,정의당,지방재정,0,0,0,0,0.0,0.0
2017-Q3,정의당,지방행정,0,0,0,0,0.0,0.0
2017-Q3,정의당,지역균형발전,0,0,0,0,0.0,0.0
2017-Q3,정의당,청사관리,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,국가기록물,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,국가적중장기과제추진·지원,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,국민안전행정지원,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,복구지원,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,비상대비,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,안전및재난,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,안전행정행정지원,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,이북5도,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,자치인력개발,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,재난예방,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,전자정부,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,정보시스템통합관리,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,정부의전,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,정부혁신,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,조직관리,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,지방세,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,지방재정,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,지방행정,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,지역균형발전,0,0,0,0,0.0,0.0
2017-Q3,조국혁신당,청사관리,0,0,0,0,0.0,0.0
2017-Q3,진보당,국가기록물,0,0,0,0,0.0,0.0
2017-Q3,진보당,국가적중장기과제추진·지원,0,0,0,0,0.0,0.0
2017-Q3,진보당,국민안전행정지원,0,0,0,0,0.0,0.0
2017-Q3,진보당,복구지원,0,0,0,0,0.0,0.0
2017-Q3,진보당,비상대비,0,0,0,0,0.0,0.0
2017-Q3,진보당,안전및재난,0,0,0,0,0.0,0.0
2017-Q3,진보당,안전행정행정지원,0,0,0,0,0.0,0.0
2017-Q3,진보당,이북5도,0,0,0,0,0.0,0.0
2017-Q3,진보당,자치인력개발,0,0,0,0,0.0,0.0
2017-Q3,진보당,재난예방,0,0,0,0,0.0,0.0
2017-Q3,진보당,전자정부,0,0,0,0,0.0,0.0
2017-Q3,진보당,정보시스템통합관리,0,0,0,0,0.0,0.0
2017-Q3,진보당,정부의전,0,0,0,0,0.0,0.0
2017-Q3,진보당,정부혁신,0,0,0,0,0.0,0.0
2017-Q3,진보당,조직관리,0,0,0,0,0.0,0.0
2017-Q3,진보당,지방세,0,0,0,0,0.0,0.0
2017-Q3,진보당,지방재정,0,0,0,0,0.0,0.0
2017-Q3,진보당,지방행정,0,0,0,0,0.0,0.0
2017-Q3,진보당,지역균형발전,0,0,0,0,0.0,0.0
2017-Q3,진보당,청사관리,0,0,0,0,0.0,0.0
2017-Q4,국민의당,국가기록물,0,0,5,259287,0.0,0.0
2017-Q4,국민의당,국가적중장기과제추진·지원,0,0,5,259287,0.0,0.0
